DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.115161	11	5	0	7	2	5	3	0	15	0	2	-0.887738	1	0.927158
DL	0.115196	11	5	0	9	2	4	1	0	64	6	0	7.3022	0	0.0012
DL	0.115196	11	5	0	9	2	5	6	0	64	6	0	7.81933	0	0.0012
DL	0.115214	11	5	0	11	1	5	4	0	89	15	0	16.8794	0	0.285795
DL	0.115232	11	5	0	1	12	7	4	0	107	0	2	-5.57328	1	0.999039
UL	0.115232	11	5	0	11	2	4	1	0	15	0	0	12.5452 	0	0
UL	0.115232	11	5	0	12	1	5	4	0	6	0	0	13.9074 	0	0
DL	0.115339	11	5	1	1	4	5	5	0	33	0	3	-19.4455	1	1
UL	0.115357	11	5	1	1	5	3	1	0	43	0	0	23.7272 	0	0
DL	0.115375	11	5	1	1	6	8	2	0	52	0	0	-26.4945	1	1
DL	0.115393	11	5	1	5	3	5	4	0	274	15	0	16.3342	1	0.259536
DL	0.115429	11	5	1	8	2	5	6	0	64	6	0	8.30225	0	0
DL	0.115482	11	5	1	1	12	7	4	0	107	0	2	-5.94251	1	1
DL	0.115482	11	5	1	1	12	4	1	0	403	6	0	7.1349	0	0
DL	0.115482	11	5	1	7	6	8	3	0	52	0	0	-2.91562	1	1
UL	0.115482	11	5	1	10	3	5	4	0	24	0	0	15.1215 	0	0
DL	0.115554	11	5	2	1	2	4	4	0	15	0	1	-27.4126	1	0.927158
DL	0.115554	11	5	2	1	2	5	5	0	15	0	3	-19.5678	1	1
DL	0.115589	11	5	2	1	4	7	2	0	33	0	1	-33.1952	1	1
DL	0.115589	11	5	2	3	2	4	4	0	15	0	2	-27.3638	1	0.927158
DL	0.115589	11	5	2	3	2	5	3	0	15	0	3	-0.957536	0	0
UL	0.115607	11	5	2	1	5	3	1	0	43	0	0	23.8119 	0	0
DL	0.115625	11	5	2	1	6	8	2	0	52	0	0	-26.3966	1	1
DL	0.115661	11	5	2	5	4	7	2	0	33	0	2	-33.3121	1	1
DL	0.115661	11	5	2	5	4	5	6	0	132	6	0	0.772687	1	1
DL	0.115714	11	5	2	9	3	5	4	0	274	15	0	13.8182	1	1
DL	0.115732	11	5	2	5	8	4	1	0	360	8	0	7.10517	1	0.989423
DL	0.115732	11	5	2	7	6	8	3	0	52	0	0	-3.07993	1	1
DL	0.115732	11	5	2	9	4	7	3	0	33	0	0	2.88748	0	0
UL	0.115732	11	5	2	12	1	5	6	0	80	14	1	6.14774 	0	0
DL	0.115804	11	5	3	1	2	4	4	0	15	0	1	-27.7256	1	1
DL	0.115839	11	5	3	3	2	4	4	0	15	0	2	-27.7128	1	1
DL	0.115875	11	5	3	1	6	8	2	0	52	0	0	-28.6784	1	1
DL	0.115875	11	5	3	1	6	5	4	0	551	15	0	12.3807	1	1
DL	0.115893	11	5	3	1	7	7	3	0	61	0	0	-5.89488	1	1
DL	0.115964	11	5	3	1	11	3	1	0	1394	20	0	18.9613	0	0.0167294
DL	0.115982	11	5	3	5	8	4	1	0	268	6	0	7.56657	0	0
DL	0.115982	11	5	3	7	6	8	3	0	52	0	0	-3.29538	1	1
DL	0.115982	11	5	3	7	6	5	6	0	200	6	0	8.25687	0	0
UL	0.115982	11	5	3	8	5	7	3	0	43	0	0	2.62238 	0	0
DL	0.116054	11	6	0	1	2	4	4	0	15	0	1	-27.5528	1	1
DL	0.116089	11	6	0	1	4	5	4	0	292	13	0	12.3933	1	0.978846
DL	0.116089	11	6	0	3	2	4	4	0	15	0	2	-27.5056	1	1
DL	0.116125	11	6	0	1	6	8	2	0	52	0	1	-26.5002	1	1
DL	0.116161	11	6	0	5	4	5	6	0	132	6	0	7.73404	0	0
DL	0.116232	11	6	0	1	12	7	4	0	107	0	3	-5.08772	0	0
DL	0.116232	11	6	0	5	8	4	1	0	268	6	0	7.80129	0	0
DL	0.116232	11	6	0	7	6	8	2	0	52	0	2	-25.6756	1	1
UL	0.116232	11	6	0	9	4	5	3	0	33	0	0	0.233616 	1	0.522303
