timestamp,ueId,nrCellId
1760608120359,1,8
1760608120359,2,3
1760608120359,3,8
1760608120359,4,7
1760608120359,5,7
1760608120359,7,7
1760608120359,8,8
1760608120359,9,3
1760608120359,10,8
1760608120359,11,7
1760608120359,12,3
1760608120359,13,6
1760608120359,14,6
1760608120459,1,4
1760608120459,2,7
1760608120459,3,8
1760608120459,4,4
1760608120459,5,7
1760608120459,6,5
1760608120459,7,3
1760608120459,8,8
1760608120459,10,7
1760608120459,11,8
1760608120459,12,6
1760608120459,13,3
1760608120559,1,5
1760608120559,2,6
1760608120559,3,3
1760608120559,4,8
1760608120559,5,5
1760608120559,6,7
1760608120559,7,8
1760608120559,8,8
1760608120559,9,3
1760608120559,10,6
1760608120559,11,7
1760608120559,12,4
1760608120559,14,8
1760608120659,1,5
1760608120659,2,3
1760608120659,3,4
1760608120659,5,3
1760608120659,6,7
1760608120659,7,6
1760608120659,8,5
1760608120659,9,7
1760608120659,10,4
1760608120659,12,4
1760608120659,13,4
1760608120759,1,6
1760608120759,2,7
1760608120759,3,7
1760608120759,4,3
1760608120759,5,5
1760608120759,6,8
1760608120759,7,5
1760608120759,8,5
1760608120759,9,5
1760608120759,10,7
1760608120759,11,7
1760608120759,13,4
1760608120759,14,3
1760608120859,1,4
1760608120859,2,5
1760608120859,3,6
1760608120859,4,8
1760608120859,5,8
1760608120859,6,4
1760608120859,7,3
1760608120859,8,7
1760608120859,9,8
1760608120859,11,8
1760608120859,13,7
