timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608120359,00005,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608120359,00007,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608120559,00006,111,5,139,139,1,2,0,46,12,46,0,0,4,34,4922,46,0,0,0,0,0,46,0,0,0,0,0,0,123238,1,46,12,46,0,0,34,4922,4.555753,46,0,0,0,0,0,46,0,0,0,0,0,0,123238,13853.886318,5240.000000
1760608120659,00001,111,5,139,139,1,10,0,241,201,48,0,193,14,40,401839,48,0,0,0,0,193,45,0,0,0,0,0,196,381702,2,45,12,45,0,0,33,3404,2.390785,45,0,0,0,0,0,45,0,0,0,0,0,0,381702,24394.440948,5240.000000
1760608120659,00005,111,5,139,139,1,10,0,241,201,48,0,193,14,40,401839,48,0,0,0,0,193,45,0,0,0,0,0,196,381702,2,196,189,3,0,193,7,398435,12.121157,3,0,0,0,0,193,0,0,0,0,0,0,196,0,19273.595946,35520.000000
1760608120759,00001,111,5,139,139,1,8,0,82,21,82,0,0,12,61,8774,82,0,0,0,0,0,82,0,0,0,0,0,0,1038513,2,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,518345,24579.742400,5240.000000
1760608120759,00008,111,5,139,139,1,8,0,82,21,82,0,0,12,61,8774,82,0,0,0,0,0,82,0,0,0,0,0,0,1038513,2,46,12,46,0,0,34,4922,2.736181,46,0,0,0,0,0,46,0,0,0,0,0,0,520168,25125.341708,5240.000000
1760608120859,00008,111,5,139,139,1,11,0,414,297,132,103,179,16,117,339834,94,38,103,0,0,179,85,27,0,82,38,0,182,1720992,4,38,9,38,0,0,29,2414,6.850714,38,0,0,0,0,0,38,0,0,0,0,0,0,649364,25125.341708,5340.000000
1760608120859,00007,111,5,139,139,1,11,0,414,297,132,103,179,16,117,339834,94,38,103,0,0,179,85,27,0,82,38,0,182,1720992,4,163,104,60,103,0,59,73510,5.172939,22,38,103,0,0,0,25,18,0,82,38,0,0,460246,8676.050736,10160.000000
1760608120859,00005,111,5,139,139,1,11,0,414,297,132,103,179,16,117,339834,94,38,103,0,0,179,85,27,0,82,38,0,182,1720992,4,182,173,3,0,179,9,262005,5.301023,3,0,0,0,0,179,0,0,0,0,0,0,182,142,17708.143220,24310.000000
1760608120859,00009,111,5,139,139,1,11,0,414,297,132,103,179,16,117,339834,94,38,103,0,0,179,85,27,0,82,38,0,182,1720992,4,31,11,31,0,0,20,1905,0.904851,31,0,0,0,0,0,22,9,0,0,0,0,0,611240,6949.697482,5340.000000
