% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.00721428	1	0	0	2.30462e-13	485.857	0
0.00721428	1	0	0	1.54798e-13	326.343	0
0.00721428	1	0	0	1.83088e-13	385.983	0
0.00721428	1	0	0	3.81598e-13	804.479	0
0.00721428	1	0	0	1.33606e-13	281.665	0
0.00721428	1	0	0	2.79995e-13	590.281	0
0.00721428	1	0	0	1.19731e-13	252.415	0
0.00821428	1	0	0	1.22331e-13	257.896	0
0.00821428	1	0	0	2.86783e-13	604.593	0
0.00821428	1	0	0	4.89601e-13	1032.17	0
0.00821428	1	0	0	1.18489e-13	249.797	0
0.00821428	1	0	0	1.19034e-13	250.946	0
0.00821428	1	0	0	1.59196e-12	3356.15	0
0.00821428	1	0	0	2.9429e-13	620.417	0
0.00821428	1	0	0	2.30462e-13	485.856	0
0.00821428	1	0	0	1.54797e-13	326.341	0
0.00821428	1	0	0	1.83086e-13	385.98	0
0.00821428	1	0	0	3.81595e-13	804.472	0
0.00821428	1	0	0	1.33605e-13	281.664	0
0.00821428	1	0	0	2.79992e-13	590.276	0
0.00821428	1	0	0	1.1973e-13	252.413	0
0.00921428	1	0	0	1.22331e-13	257.897	0
0.00921428	1	0	0	2.86784e-13	604.594	0
0.00921428	1	0	0	4.89606e-13	1032.18	0
0.00921428	1	0	0	1.18489e-13	249.796	0
0.00921428	1	0	0	1.19034e-13	250.946	0
0.00921428	1	0	0	1.59193e-12	3356.08	0
0.00921428	1	0	0	2.94291e-13	620.42	0
0.00921428	1	0	0	2.30461e-13	485.855	0
0.00921428	1	0	0	1.54796e-13	326.339	0
0.00921428	1	0	0	1.83085e-13	385.976	0
0.00921428	1	0	0	3.81591e-13	804.465	0
0.00921428	1	0	0	1.33604e-13	281.663	0
0.00921428	1	0	0	2.7999e-13	590.27	0
0.00921428	1	0	0	1.19729e-13	252.412	0
0.0102143	1	0	0	1.22332e-13	257.899	0
0.0102143	1	0	0	2.86785e-13	604.595	0
0.0102143	1	0	0	4.89611e-13	1032.19	0
0.0102143	1	0	0	1.18488e-13	249.795	0
0.0102143	1	0	0	1.19034e-13	250.946	0
0.0102143	1	0	0	1.5919e-12	3356.02	0
0.0102143	1	0	0	2.94293e-13	620.423	0
0.0102143	1	0	0	2.3046e-13	485.853	0
0.0102143	1	0	0	1.54795e-13	326.337	0
0.0102143	1	0	0	1.83083e-13	385.973	0
0.0102143	1	0	0	3.81588e-13	804.459	0
0.0102143	1	0	0	1.33604e-13	281.661	0
