timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608034584,00008,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034584,00012,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034784,00001,111,4,139,139,1,3,0,83,36,83,0,0,5,47,6249,83,0,0,0,0,0,60,9,14,0,0,0,0,529345,2,50,24,50,0,0,26,3837,3.590132,50,0,0,0,0,0,27,9,14,0,0,0,0,256281,16472.267766,5240.000000
1760608034784,00004,111,4,139,139,1,3,0,83,36,83,0,0,5,47,6249,83,0,0,0,0,0,60,9,14,0,0,0,0,529345,2,33,12,33,0,0,21,2412,2.261370,33,0,0,0,0,0,33,0,0,0,0,0,0,273064,19797.602114,6070.000000
1760608034884,00004,111,4,139,139,1,20,0,413,308,369,44,0,28,105,137680,204,165,44,0,0,0,69,12,46,286,0,0,0,1025882,3,36,9,36,0,0,27,1872,5.361429,36,0,0,0,0,0,24,12,0,0,0,0,0,406270,19852.914495,5240.000000
1760608034884,00014,111,4,139,139,1,20,0,413,308,369,44,0,28,105,137680,204,165,44,0,0,0,69,12,46,286,0,0,0,1025882,3,45,12,45,0,0,33,2340,1.672311,45,0,0,0,0,0,45,0,0,0,0,0,0,363628,15587.969827,5240.000000
1760608034884,00012,111,4,139,139,1,20,0,413,308,369,44,0,28,105,137680,204,165,44,0,0,0,69,12,46,286,0,0,0,1025882,3,332,287,288,44,0,45,133468,22.619553,123,165,44,0,0,0,0,0,46,286,0,0,0,255984,7248.580106,14350.000000
1760608034984,00014,111,4,139,139,1,8,0,84,21,84,0,0,12,63,8328,84,0,0,0,0,0,84,0,0,0,0,0,0,981304,2,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,489791,17261.943079,5240.000000
1760608034984,00005,111,4,139,139,1,8,0,84,21,84,0,0,12,63,8328,84,0,0,0,0,0,84,0,0,0,0,0,0,981304,2,48,12,48,0,0,36,4476,2.498253,48,0,0,0,0,0,48,0,0,0,0,0,0,491513,25125.341708,6070.000000
1760608035084,00002,111,4,139,139,1,1,0,76,22,76,0,0,2,54,5256,76,0,0,0,0,0,75,1,0,0,0,0,0,1163252,2,42,12,42,0,0,30,3056,1.437846,42,0,0,0,0,0,42,0,0,0,0,0,0,677810,23302.600875,5340.000000
1760608035084,00013,111,4,139,139,1,1,0,76,22,76,0,0,2,54,5256,76,0,0,0,0,0,75,1,0,0,0,0,0,1163252,2,34,10,34,0,0,24,2200,1.041199,34,0,0,0,0,0,33,1,0,0,0,0,0,485442,9847.189083,5440.000000
