% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
352	1	0	4	0	28	9422	0	1	0
353	1	0	1	0	24	6882	0	1	0
354	1	0	5	0	24	6882	0	1	0
355	1	0	6	0	26	7708	0	1	0
356	1	0	7	0	24	6882	0	1	0
357	1	0	8	0	28	9422	0	1	0
358	1	0	9	0	28	9422	0	1	0
359	1	0	10	0	24	6882	0	1	0
360	1	0	11	0	26	7708	0	1	0
361	1	0	12	0	28	9422	0	1	0
362	1	0	13	0	28	9422	0	1	0
363	1	0	14	0	24	6882	0	1	0
378	1	0	2	0	28	9422	0	1	0
379	1	0	3	0	28	9422	0	1	0
380	1	0	4	0	28	9422	0	1	0
381	1	0	1	0	24	6882	0	1	0
382	1	0	5	0	24	6882	0	1	0
383	1	0	6	0	26	7708	0	1	0
384	1	0	7	0	24	6882	0	1	0
385	1	0	8	0	28	9422	0	1	0
386	1	0	9	0	28	9422	0	1	0
387	1	0	10	0	24	6882	0	1	0
388	1	0	11	0	26	7708	0	1	0
389	1	0	12	0	28	9422	0	1	0
390	1	0	13	0	28	9422	0	1	0
391	1	0	14	0	24	6882	0	1	0
406	1	0	2	0	28	9422	0	1	0
407	1	0	3	0	28	9422	0	1	0
408	1	0	4	0	28	9422	0	1	0
409	1	0	1	0	24	6882	0	1	0
410	1	0	5	0	24	6882	0	1	0
411	1	0	6	0	26	7708	0	1	0
412	1	0	7	0	24	6882	0	1	0
413	1	0	8	0	28	9422	0	1	0
414	1	0	9	0	28	9422	0	1	0
415	1	0	10	0	24	6882	0	1	0
416	1	0	11	0	26	7708	0	1	0
417	1	0	12	0	28	9422	0	1	0
418	1	0	13	0	28	9422	0	1	0
419	1	0	14	0	24	6882	0	1	0
434	1	0	2	0	28	9422	0	1	0
435	1	0	3	0	28	9422	0	1	0
436	1	0	4	0	28	9422	0	1	0
437	1	0	1	0	24	6882	0	1	0
438	1	0	5	0	24	6882	0	1	0
439	1	0	6	0	26	7708	0	1	0
440	1	0	7	0	24	6882	0	1	0
441	1	0	8	0	28	9422	0	1	0
442	1	0	9	0	28	9422	0	1	0
443	1	0	10	0	24	6882	0	1	0
444	1	0	11	0	26	7708	0	1	0
445	1	0	12	0	28	9422	0	1	0
446	1	0	13	0	28	9422	0	1	0
447	1	0	14	0	24	6882	0	1	0
462	1	0	2	0	28	9422	0	1	0
463	1	0	3	0	28	9422	0	1	0
464	1	0	4	0	28	9422	0	1	0
465	1	0	1	0	24	6882	0	1	0
466	1	0	5	0	24	6882	0	1	0
467	1	0	6	0	26	7708	0	1	0
468	1	0	7	0	24	6882	0	1	0
469	1	0	8	0	28	9422	0	1	0
470	1	0	9	0	28	9422	0	1	0
471	1	0	10	0	24	6882	0	1	0
472	1	0	11	0	26	7708	0	1	0
473	1	0	12	0	28	9422	0	1	0
474	1	0	13	0	28	9422	0	1	0
475	1	0	14	0	24	6882	0	1	0
490	1	0	2	0	28	9422	0	1	0
491	1	0	3	0	28	9422	0	1	0
492	1	0	4	0	28	9422	0	1	0
493	1	0	1	0	24	6882	0	1	0
494	1	0	5	0	24	6882	0	1	0
495	1	0	6	0	26	7708	0	1	0
496	1	0	7	0	24	6882	0	1	0
497	1	0	8	0	28	9422	0	1	0
498	1	0	9	0	28	9422	0	1	0
499	1	0	10	0	24	6882	0	1	0
500	1	0	11	0	26	7708	0	1	0
501	1	0	12	0	28	9422	0	1	0
502	1	0	13	0	28	9422	0	1	0
503	1	0	14	0	24	6882	0	1	0
518	1	0	2	0	28	9422	0	1	0
519	1	0	3	0	28	9422	0	1	0
520	1	0	4	0	28	9422	0	1	0
521	1	0	1	0	24	6882	0	1	0
522	1	0	5	0	24	6882	0	1	0
523	1	0	6	0	26	7708	0	1	0
524	1	0	7	0	24	6882	0	1	0
525	1	0	8	0	28	9422	0	1	0
526	1	0	9	0	28	9422	0	1	0
527	1	0	10	0	24	6882	0	1	0
528	1	0	11	0	26	7708	0	1	0
529	1	0	12	0	28	9422	0	1	0
530	1	0	13	0	28	9422	0	1	0
531	1	0	14	0	24	6882	0	1	0
546	1	0	2	0	28	9422	0	1	0
547	1	0	3	0	28	9422	0	1	0
548	1	0	4	0	28	9422	0	1	0
549	1	0	1	0	24	6882	0	1	0
550	1	0	5	0	24	6882	0	1	0
551	1	0	6	0	26	7708	0	1	0
552	1	0	7	0	24	6882	0	1	0
553	1	0	8	0	28	9422	0	1	0
554	1	0	9	0	28	9422	0	1	0
555	1	0	10	0	24	6882	0	1	0
556	1	0	11	0	26	7708	0	1	0
557	1	0	12	0	28	9422	0	1	0
558	1	0	13	0	28	9422	0	1	0
559	1	0	14	0	24	6882	0	1	0
574	1	0	2	0	28	9422	0	1	0
575	1	0	3	0	28	9422	0	1	0
576	1	0	4	0	28	9422	0	1	0
577	1	0	1	0	24	6882	0	1	0
578	1	0	5	0	24	6882	0	1	0
579	1	0	6	0	26	7708	0	1	0
580	1	0	7	0	24	6882	0	1	0
581	1	0	8	0	28	9422	0	1	0
582	1	0	9	0	28	9422	0	1	0
583	1	0	10	0	24	6882	0	1	0
584	1	0	11	0	26	7708	0	1	0
585	1	0	12	0	28	9422	0	1	0
586	1	0	13	0	28	9422	0	1	0
587	1	0	14	0	24	6882	0	1	0
602	1	0	2	0	28	9422	0	1	0
603	1	0	3	0	28	9422	0	1	0
604	1	0	4	0	28	9422	0	1	0
605	1	0	1	0	24	6882	0	1	0
606	1	0	5	0	24	6882	0	1	0
607	1	0	6	0	26	7708	0	1	0
608	1	0	7	0	24	6882	0	1	0
609	1	0	8	0	28	9422	0	1	0
610	1	0	9	0	28	9422	0	1	0
611	1	0	10	0	24	6882	0	1	0
612	1	0	11	0	26	7708	0	1	0
613	1	0	12	0	28	9422	0	1	0
614	1	0	13	0	28	9422	0	1	0
615	1	0	14	0	24	6882	0	1	0
630	1	0	2	0	28	9422	0	1	0
631	1	0	3	0	28	9422	0	1	0
632	1	0	4	0	28	9422	0	1	0
633	1	0	1	0	24	6882	0	1	0
634	1	0	5	0	24	6882	0	1	0
635	1	0	6	0	26	7708	0	1	0
636	1	0	7	0	24	6882	0	1	0
637	1	0	8	0	28	9422	0	1	0
638	1	0	9	0	28	9422	0	1	0
639	1	0	10	0	24	6882	0	1	0
640	1	0	11	0	26	7708	0	1	0
641	1	0	12	0	28	9422	0	1	0
642	1	0	13	0	28	9422	0	1	0
643	1	0	14	0	24	6882	0	1	0
658	1	0	2	0	28	9422	0	1	0
659	1	0	3	0	28	9422	0	1	0
660	1	0	4	0	28	9422	0	1	0
661	1	0	1	0	24	6882	0	1	0
662	1	0	5	0	24	6882	0	1	0
663	1	0	6	0	26	7708	0	1	0
664	1	0	7	0	24	6882	0	1	0
665	1	0	8	0	28	9422	0	1	0
666	1	0	9	0	28	9422	0	1	0
667	1	0	10	0	24	6882	0	1	0
668	1	0	11	0	26	7708	0	1	0
669	1	0	12	0	28	9422	0	1	0
670	1	0	13	0	28	9422	0	1	0
671	1	0	14	0	24	6882	0	1	0
686	1	0	2	0	28	9422	0	1	0
687	1	0	3	0	28	9422	0	1	0
688	1	0	4	0	28	9422	0	1	0
689	1	0	1	0	24	6882	0	1	0
690	1	0	5	0	24	6882	0	1	0
691	1	0	6	0	26	7708	0	1	0
692	1	0	7	0	24	6882	0	1	0
693	1	0	8	0	28	9422	0	1	0
694	1	0	9	0	28	9422	0	1	0
695	1	0	10	0	24	6882	0	1	0
696	1	0	11	0	26	7708	0	1	0
697	1	0	12	0	28	9422	0	1	0
698	1	0	13	0	28	9422	0	1	0
699	1	0	14	0	24	6882	0	1	0
