DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.115482	11	5	1	11	2	5	6	0	15	0	0	6.0779 	0	0
UL	0.115482	11	5	1	12	1	8	4	0	36	7	0	9.99078 	0	0.0573
DL	0.115571	11	5	2	1	3	5	3	0	24	0	1	-12.9922	1	1
UL	0.115607	11	5	2	1	5	6	4	0	43	0	0	1.70982 	0	0
DL	0.115625	11	5	2	4	3	5	3	0	24	0	2	-13.0419	1	1
DL	0.115696	11	5	2	7	4	5	5	0	33	0	1	-1.71167	1	1
DL	0.115714	11	5	2	11	1	5	4	0	6	0	0	0.274503	0	0.299702
DL	0.115732	11	5	2	1	12	7	3	0	107	0	0	-17.5711	1	1
DL	0.115732	11	5	2	1	12	8	4	0	542	8	0	10.1861	0	0.0128
UL	0.115732	11	5	2	12	1	5	6	0	30	6	0	6.11768 	0	0.0101
DL	0.115839	11	5	3	1	4	5	5	0	33	0	2	-30.0929	1	1
DL	0.115875	11	5	3	1	6	6	6	0	52	0	1	-24.8154	1	1
DL	0.115893	11	5	3	5	3	5	5	0	24	0	1	-30.112	1	1
DL	0.115946	11	5	3	8	3	5	5	0	24	0	2	-30.1093	1	1
DL	0.115982	11	5	3	1	12	3	3	0	107	0	2	-59.4056	1	1
DL	0.115982	11	5	3	1	12	7	2	0	107	0	2	-18.2299	1	1
DL	0.115982	11	5	3	1	12	8	3	0	107	0	3	-20.8896	1	1
DL	0.115982	11	5	3	7	6	6	6	0	52	0	2	-24.9013	1	1
DL	0.115982	11	5	3	11	2	5	4	0	15	0	0	0.337786	0	0.271552
DL	0.116089	11	6	0	1	4	5	3	0	33	0	1	-31.6569	1	1
DL	0.116125	11	6	0	1	6	6	4	0	52	0	1	-7.76629	1	1
DL	0.116161	11	6	0	5	4	5	3	0	33	0	2	-31.6863	1	1
DL	0.116232	11	6	0	1	12	3	3	0	107	0	2	-59.366	1	1
DL	0.116232	11	6	0	1	12	7	2	0	107	0	2	-18.4883	1	1
DL	0.116232	11	6	0	1	12	8	3	0	107	0	3	-21.0149	1	1
DL	0.116232	11	6	0	7	6	6	4	0	52	0	2	-7.7285	1	1
DL	0.116232	11	6	0	9	4	5	5	0	33	0	1	-1.87451	0	0
DL	0.116339	11	6	1	1	4	8	2	0	33	0	3	-4.27647	1	0.990385
DL	0.116339	11	6	1	1	4	5	3	0	33	0	3	-32.1034	1	1
DL	0.116375	11	6	1	1	6	6	6	0	52	0	1	-24.9285	1	1
DL	0.116393	11	6	1	5	3	5	3	0	24	0	3	-32.0615	1	1
DL	0.116411	11	6	1	5	4	8	4	0	178	8	0	11.1916	0	0
DL	0.116482	11	6	1	1	12	3	3	0	107	0	2	-33.638	1	1
DL	0.116482	11	6	1	1	12	7	2	0	107	0	2	-16.9893	1	1
DL	0.116482	11	6	1	7	6	6	6	0	52	0	2	-21.9069	1	1
UL	0.116482	11	6	1	8	5	5	4	0	43	0	0	-0.579257 	0	0.572072
UL	0.116482	11	6	1	9	4	8	2	0	33	0	0	0.546251 	0	0.0065
DL	0.116589	11	6	2	1	4	5	5	0	33	0	3	-29.8141	1	1
DL	0.116625	11	6	2	1	6	6	6	0	52	0	3	-24.0102	1	1
UL	0.116696	11	6	2	7	4	6	4	0	43	1	0	1.61515 	0	0.0681
DL	0.116732	11	6	2	1	12	7	3	0	107	0	1	-17.5119	1	1
DL	0.116732	11	6	2	1	12	8	4	0	542	8	0	10.4185	0	0.0128
DL	0.116839	11	6	3	1	4	5	3	0	33	0	3	-32.4087	1	1
DL	0.116875	11	6	3	1	6	6	4	0	52	0	3	-7.77206	1	1
DL	0.116893	11	6	3	5	3	5	5	0	24	0	3	-2.02315	0	0.0026
DL	0.116982	11	6	3	1	12	3	3	0	107	0	3	-33.8752	1	1
DL	0.116982	11	6	3	1	12	7	2	0	107	0	3	-18.1966	1	1
DL	0.116982	11	6	3	1	12	8	4	0	542	8	0	5.4245	1	1
DL	0.117125	11	7	0	1	6	6	6	0	52	0	3	-25.3764	1	1
DL	0.117232	11	7	0	1	12	3	3	0	107	0	3	-30.3571	1	1
DL	0.117232	11	7	0	1	12	7	2	0	107	0	3	-17.861	1	1
DL	0.117232	11	7	0	1	12	8	4	0	680	11	0	5.6024	1	1
UL	0.117357	11	7	1	1	5	5	5	0	43	0	0	-7.62352 	1	1
DL	0.117482	11	7	1	1	12	3	3	0	107	0	3	-30.1863	1	1
DL	0.117482	11	7	1	1	12	7	2	0	107	0	3	-17.7762	1	1
DL	0.117482	11	7	1	1	12	8	4	0	542	8	0	5.78705	1	1
DL	0.117732	11	7	2	1	12	7	3	0	107	0	2	-17.6426	1	1
DL	0.117732	11	7	2	1	12	8	4	0	274	4	0	10.9742	0	0
