timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608034584,00005,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034584,00007,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034684,00007,111,5,139,139,1,32,0,343,233,177,106,60,45,110,136807,151,26,57,109,0,0,78,34,55,23,153,0,0,471767,5,179,158,13,106,60,21,127263,38.920000,13,0,57,109,0,0,0,0,16,10,153,0,0,1619,8811.590345,13410.000000
1760608034684,00001,111,5,139,139,1,32,0,343,233,177,106,60,45,110,136807,151,26,57,109,0,0,78,34,55,23,153,0,0,471767,5,44,11,44,0,0,33,1172,1.780466,44,0,0,0,0,0,44,0,0,0,0,0,0,122913,25125.341708,4500.000000
1760608034684,00003,111,5,139,139,1,32,0,343,233,177,106,60,45,110,136807,151,26,57,109,0,0,78,34,55,23,153,0,0,471767,5,31,29,31,0,0,2,1807,2.571784,31,0,0,0,0,0,2,0,29,0,0,0,0,112342,11742.318124,4610.000000
1760608034684,00009,111,5,139,139,1,32,0,343,233,177,106,60,45,110,136807,151,26,57,109,0,0,78,34,55,23,153,0,0,471767,5,38,11,38,0,0,27,1239,1.842288,38,0,0,0,0,0,24,14,0,0,0,0,0,113734,16423.621780,4190.000000
1760608034684,00014,111,5,139,139,1,32,0,343,233,177,106,60,45,110,136807,151,26,57,109,0,0,78,34,55,23,153,0,0,471767,5,51,24,51,0,0,27,5326,3.437289,25,26,0,0,0,0,8,20,10,13,0,0,0,121159,10815.480830,4610.000000
1760608034784,00009,111,5,139,139,1,10,0,102,29,102,0,0,14,73,8903,102,0,0,0,0,0,91,11,0,0,0,0,0,737750,3,37,9,37,0,0,28,3885,10.822143,37,0,0,0,0,0,37,0,0,0,0,0,0,245135,20296.322459,5340.000000
1760608034784,00002,111,5,139,139,1,10,0,102,29,102,0,0,14,73,8903,102,0,0,0,0,0,91,11,0,0,0,0,0,737750,3,26,8,26,0,0,18,1564,1.485572,26,0,0,0,0,0,21,5,0,0,0,0,0,256385,21611.624217,6070.000000
1760608034784,00011,111,5,139,139,1,10,0,102,29,102,0,0,14,73,8903,102,0,0,0,0,0,91,11,0,0,0,0,0,737750,3,39,12,39,0,0,27,3454,3.218739,39,0,0,0,0,0,33,6,0,0,0,0,0,236230,14087.186574,5240.000000
1760608034884,00006,111,5,139,139,1,11,0,310,220,263,47,0,16,90,123597,72,191,36,11,0,0,48,35,10,174,43,0,0,794676,3,34,10,34,0,0,24,1305,0.960030,34,0,0,0,0,0,29,5,0,0,0,0,0,235491,9416.601996,5240.000000
1760608034884,00007,111,5,139,139,1,11,0,310,220,263,47,0,16,90,123597,72,191,36,11,0,0,48,35,10,174,43,0,0,794676,3,244,200,197,47,0,44,121156,16.178059,6,191,36,11,0,0,0,17,10,174,43,0,0,161189,8160.550072,12680.000000
1760608034884,00008,111,5,139,139,1,11,0,310,220,263,47,0,16,90,123597,72,191,36,11,0,0,48,35,10,174,43,0,0,794676,3,32,10,32,0,0,22,1136,0.842349,32,0,0,0,0,0,19,13,0,0,0,0,0,397996,19745.574578,5240.000000
1760608034984,00008,111,5,139,139,1,7,0,124,40,124,0,0,11,84,8404,124,0,0,0,0,0,113,11,0,0,0,0,0,2077764,4,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,520227,20904.760864,5240.000000
1760608034984,00002,111,5,139,139,1,7,0,124,40,124,0,0,11,84,8404,124,0,0,0,0,0,113,11,0,0,0,0,0,2077764,4,34,10,34,0,0,24,1904,1.090507,34,0,0,0,0,0,26,8,0,0,0,0,0,536606,22876.939934,5240.000000
1760608034984,00004,111,5,139,139,1,7,0,124,40,124,0,0,11,84,8404,124,0,0,0,0,0,113,11,0,0,0,0,0,2077764,4,31,10,31,0,0,21,1585,0.912060,31,0,0,0,0,0,31,0,0,0,0,0,0,530111,20981.158023,5240.000000
