timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608076359,00009,111,8,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076459,00001,111,8,139,139,1,3,0,36,9,36,0,0,5,27,3852,36,0,0,0,0,0,36,0,0,0,0,0,0,122231,1,36,9,36,0,0,27,3852,5.341398,36,0,0,0,0,0,36,0,0,0,0,0,0,122231,25125.341708,4500.000000
1760608076559,00001,111,8,139,139,1,12,0,94,24,94,0,0,18,70,10058,94,0,0,0,0,0,94,0,0,0,0,0,0,499709,2,48,12,48,0,0,36,5136,14.297143,48,0,0,0,0,0,48,0,0,0,0,0,0,257261,25125.341708,5240.000000
1760608076559,00012,111,8,139,139,1,12,0,94,24,94,0,0,18,70,10058,94,0,0,0,0,0,94,0,0,0,0,0,0,499709,2,46,12,46,0,0,34,4922,4.555753,46,0,0,0,0,0,46,0,0,0,0,0,0,242448,24807.392885,5340.000000
1760608076659,00001,111,8,139,139,1,9,0,99,32,99,0,0,13,67,9254,99,0,0,0,0,0,71,28,0,0,0,0,0,1005147,3,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,382114,25125.341708,5240.000000
1760608076659,00011,111,8,139,139,1,9,0,99,32,99,0,0,13,67,9254,99,0,0,0,0,0,71,28,0,0,0,0,0,1005147,3,28,12,28,0,0,16,2391,1.672311,28,0,0,0,0,0,0,28,0,0,0,0,0,361878,18758.749541,5240.000000
1760608076659,00014,111,8,139,139,1,9,0,99,32,99,0,0,13,67,9254,99,0,0,0,0,0,71,28,0,0,0,0,0,1005147,3,35,11,35,0,0,24,3011,2.105873,35,0,0,0,0,0,35,0,0,0,0,0,0,261155,5407.140734,5340.000000
1760608076759,00003,111,8,139,139,1,1,0,94,34,94,0,0,2,60,6722,94,0,0,0,0,0,69,19,6,0,0,0,0,1290738,3,34,10,34,0,0,24,2236,1.268954,34,0,0,0,0,0,34,0,0,0,0,0,0,450063,7018.448716,6070.000000
1760608076759,00007,111,8,139,139,1,1,0,94,34,94,0,0,2,60,6722,94,0,0,0,0,0,69,19,6,0,0,0,0,1290738,3,35,10,35,0,0,25,2178,1.239213,35,0,0,0,0,0,35,0,0,0,0,0,0,440893,6594.382530,5240.000000
1760608076759,00013,111,8,139,139,1,1,0,94,34,94,0,0,2,60,6722,94,0,0,0,0,0,69,19,6,0,0,0,0,1290738,3,25,14,25,0,0,11,2308,0.986413,25,0,0,0,0,0,0,19,6,0,0,0,0,399782,8162.364771,5240.000000
