DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.115482	11	5	1	1	12	6	4	0	107	0	0	-27.2372	1	1
DL	0.115482	11	5	1	1	12	7	2	0	107	0	1	-20.4708	1	1
DL	0.115482	11	5	1	1	12	8	2	0	107	0	1	-17.6835	1	1
DL	0.115482	11	5	1	1	12	4	6	0	107	0	2	-30.2446	1	1
UL	0.115482	11	5	1	8	5	3	3	0	43	0	0	8.02111 	0	0
DL	0.115482	11	5	1	9	4	5	4	0	132	6	0	8.58955	0	0
DL	0.115625	11	5	2	1	6	4	5	0	52	0	1	-1.57468	0	0.0014
DL	0.115625	11	5	2	1	6	3	4	0	52	0	1	-10.0921	1	1
DL	0.115625	11	5	2	1	6	5	2	0	551	15	0	2.24903	1	1
DL	0.115732	11	5	2	1	12	6	4	0	107	0	0	-28.4408	1	1
DL	0.115732	11	5	2	7	6	4	5	0	52	0	2	-1.73218	1	1
DL	0.115732	11	5	2	7	6	3	4	0	52	0	2	-9.99734	1	1
DL	0.115732	11	5	2	7	6	5	4	0	200	6	0	7.93555	0	0
DL	0.115875	11	5	3	1	6	3	4	0	52	0	1	-12.896	1	1
DL	0.115875	11	5	3	1	6	5	2	0	551	15	0	1.81653	1	1
DL	0.115982	11	5	3	1	12	7	2	0	107	0	2	-20.1826	1	1
DL	0.115982	11	5	3	1	12	8	2	0	107	0	2	-27.3337	1	1
DL	0.115982	11	5	3	1	12	6	4	0	107	0	0	-28.7249	1	1
DL	0.115982	11	5	3	1	12	4	6	0	107	0	3	-30.2346	1	1
DL	0.115982	11	5	3	7	6	3	4	0	52	0	2	-12.8808	1	1
DL	0.115982	11	5	3	7	6	5	4	0	200	6	0	8.52931	0	0
DL	0.116089	11	6	0	1	4	3	4	0	33	0	1	-12.204	1	1
DL	0.116125	11	6	0	1	6	5	2	0	551	15	0	10.2198	1	1
DL	0.116161	11	6	0	5	4	3	4	0	33	0	2	-12.2212	1	1
DL	0.116196	11	6	0	9	2	3	2	0	43	4	0	13.5616	0	0
UL	0.116214	11	6	0	11	1	3	2	0	6	0	0	15.2322 	0	0
DL	0.116232	11	6	0	1	12	7	2	0	107	0	2	-20.2402	1	1
DL	0.116232	11	6	0	1	12	8	2	0	107	0	2	-20.9217	1	1
DL	0.116232	11	6	0	1	12	4	6	0	107	0	3	-18.1632	1	1
DL	0.116232	11	6	0	7	6	5	4	0	200	6	0	8.7519	0	0
UL	0.116232	11	6	0	12	1	3	3	0	30	6	0	8.12488 	0	0.0006
DL	0.116375	11	6	1	1	6	5	2	0	551	15	1	1.99789	1	1
DL	0.116393	11	6	1	1	7	3	2	0	514	13	1	4.65367	0	0.0025
UL	0.116446	11	6	1	8	3	3	2	0	24	0	0	15.2644 	0	0
DL	0.116482	11	6	1	1	12	6	4	0	107	0	1	-27.5303	1	1
DL	0.116482	11	6	1	1	12	7	2	0	107	0	2	-20.144	1	1
DL	0.116482	11	6	1	1	12	8	2	0	107	0	2	-17.4492	1	1
DL	0.116482	11	6	1	1	12	4	6	0	107	0	3	-30.2313	1	1
DL	0.116482	11	6	1	7	6	5	2	0	551	15	2	2.07704	1	0.896701
DL	0.116625	11	6	2	1	6	4	5	0	52	0	3	-1.33955	0	0.0014
DL	0.116625	11	6	2	1	6	5	2	0	551	15	1	2.52543	1	1
DL	0.116643	11	6	2	1	7	3	2	0	514	13	2	11.0496	0	0
DL	0.116679	11	6	2	7	3	4	3	0	24	0	0	7.19206	0	0
DL	0.116732	11	6	2	1	12	6	4	0	107	0	1	-22.181	1	1
DL	0.116732	11	6	2	7	6	5	2	0	551	15	2	2.6847	1	0.896701
UL	0.116732	11	6	2	10	3	4	5	0	24	0	0	1.79929 	0	0.0026
DL	0.116875	11	6	3	1	6	3	4	0	52	0	3	-12.9274	1	1
DL	0.116875	11	6	3	1	6	5	2	0	551	15	1	2.08174	0	0
DL	0.116982	11	6	3	1	12	7	2	0	107	0	3	-20.1594	1	1
DL	0.116982	11	6	3	1	12	8	2	0	107	0	3	-27.4234	1	1
DL	0.116982	11	6	3	1	12	6	4	0	107	0	1	-28.9051	1	1
DL	0.116982	11	6	3	1	12	4	3	0	107	0	0	-5.8356	1	1
DL	0.116982	11	6	3	7	6	3	4	0	52	0	3	-12.9312	1	1
DL	0.116982	11	6	3	7	6	5	2	0	551	15	2	2.15765	1	1
DL	0.117089	11	7	0	1	4	3	4	0	33	0	3	-12.2249	1	1
DL	0.117125	11	7	0	1	6	5	2	0	551	15	3	10.0721	0	0
DL	0.117196	11	7	0	7	4	5	4	0	132	6	0	9.00252	0	0
DL	0.117232	11	7	0	1	12	7	2	0	107	0	3	-20.1629	1	1
DL	0.117232	11	7	0	1	12	8	2	0	107	0	3	-27.7375	1	1
DL	0.117232	11	7	0	1	12	4	3	0	107	0	0	0.493281	0	0.048
DL	0.117232	11	7	0	5	8	3	2	0	181	4	0	12.5964	0	0
DL	0.117375	11	7	1	1	6	5	2	0	551	15	3	2.12844	0	0
DL	0.117446	11	7	1	7	4	5	4	0	132	6	0	9.01854	0	0
DL	0.117482	11	7	1	1	12	6	4	0	107	0	2	-29.3012	1	1
DL	0.117482	11	7	1	1	12	7	2	0	107	0	3	-20.0978	1	1
DL	0.117482	11	7	1	1	12	8	2	0	107	0	3	-27.7246	1	1
DL	0.117482	11	7	1	1	12	4	3	0	403	6	0	-5.89214	1	1
DL	0.117482	11	7	1	1	12	3	2	0	884	13	0	4.67666	1	1
DL	0.117625	11	7	2	1	6	5	2	0	52	0	0	3.08204	0	0.0014
