timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608076359,00005,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076359,00007,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076459,00007,111,5,139,139,1,51,0,758,605,407,288,63,72,153,231966,128,279,147,204,0,0,88,0,43,413,214,0,0,278593,4,351,274,50,238,63,77,146329,47.359286,37,13,97,204,0,0,0,0,43,95,213,0,0,2984,5306.052452,8060.000000
1760608076459,00004,111,5,139,139,1,51,0,758,605,407,288,63,72,153,231966,128,279,147,204,0,0,88,0,43,413,214,0,0,278593,4,44,11,44,0,0,33,1312,1.978296,44,0,0,0,0,0,44,0,0,0,0,0,0,121568,22104.896257,3870.000000
1760608076459,00014,111,5,139,139,1,51,0,758,605,407,288,63,72,153,231966,128,279,147,204,0,0,88,0,43,413,214,0,0,278593,4,319,309,269,50,0,10,83013,23.640633,3,266,50,0,0,0,0,0,0,318,1,0,0,44263,4080.316429,10270.000000
1760608076459,00013,111,5,139,139,1,51,0,758,605,407,288,63,72,153,231966,128,279,147,204,0,0,88,0,43,413,214,0,0,278593,4,44,11,44,0,0,33,1312,1.978296,44,0,0,0,0,0,44,0,0,0,0,0,0,109778,22536.388465,4710.000000
1760608076559,00007,111,5,139,139,1,62,0,931,752,162,410,359,87,179,495824,61,101,300,162,28,279,24,14,24,169,413,1,286,403899,4,423,307,68,279,76,116,188174,57.958036,26,42,169,162,24,0,0,0,12,100,310,1,0,4708,5432.082353,6390.000000
1760608076559,00004,111,5,139,139,1,62,0,931,752,162,410,359,87,179,495824,61,101,300,162,28,279,24,14,24,169,413,1,286,403899,4,24,6,24,0,0,18,648,1.985714,24,0,0,0,0,0,24,0,0,0,0,0,0,274712,23830.865086,6070.000000
1760608076559,00014,111,5,139,139,1,62,0,931,752,162,410,359,87,179,495824,61,101,300,162,28,279,24,14,24,169,413,1,286,403899,4,198,162,67,131,0,36,43726,19.112500,8,59,131,0,0,0,0,14,12,69,103,0,0,124018,4553.625521,7960.000000
1760608076559,00005,111,5,139,139,1,62,0,931,752,162,410,359,87,179,495824,61,101,300,162,28,279,24,14,24,169,413,1,286,403899,4,286,277,3,0,283,9,263276,10.770395,3,0,0,0,4,279,0,0,0,0,0,0,286,461,11302.752982,25040.000000
