timestamp,ueId,nrCellId
1760608076359,1,8
1760608076359,3,4
1760608076359,4,5
1760608076359,5,4
1760608076359,6,4
1760608076359,8,3
1760608076359,9,7
1760608076359,10,4
1760608076359,11,3
1760608076359,12,6
1760608076359,13,5
1760608076359,14,5
1760608076459,2,6
1760608076459,3,4
1760608076459,4,5
1760608076459,5,5
1760608076459,6,6
1760608076459,8,4
1760608076459,9,6
1760608076459,10,4
1760608076459,11,4
1760608076459,12,8
1760608076459,13,3
1760608076459,14,5
1760608076559,1,8
1760608076559,2,5
1760608076559,3,6
1760608076559,4,4
1760608076559,5,4
1760608076559,6,3
1760608076559,7,7
1760608076559,8,7
1760608076559,9,7
1760608076559,10,7
1760608076559,11,8
1760608076559,12,3
1760608076559,13,6
1760608076559,14,8
1760608076659,1,7
1760608076659,2,3
1760608076659,3,8
1760608076659,4,5
1760608076659,7,8
1760608076659,8,7
1760608076659,9,6
1760608076659,11,7
1760608076659,12,3
1760608076659,13,8
1760608076659,14,4
1760608076759,1,3
1760608076759,3,7
1760608076759,5,5
1760608076759,6,6
1760608076759,7,3
1760608076759,8,7
1760608076759,9,5
1760608076759,10,7
1760608076759,11,3
1760608076759,13,5
1760608076759,14,4
1760608076859,2,4
1760608076859,5,7
1760608076859,6,5
1760608076859,7,3
1760608076859,8,6
1760608076859,9,5
1760608076859,10,4
1760608076859,11,5
1760608076859,12,6
1760608076859,14,5
