timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
1760608076759,00005,1741.208447,0,29344,2096,200,20960.000000,1664.600112,114,1195,901.000000,86
1760608076759,00003,1741.208447,0,29344,2096,200,20960.000000,1803.156195,106,1111,985.000000,94
1760608076759,00007,1741.208447,0,29344,2096,200,20960.000000,1650.423340,96,1006,1090.000000,104
1760608076759,00014,1741.208447,0,29344,2096,200,20960.000000,1679.747740,103,1079,1017.000000,97
1760608076759,00010,1741.208447,0,29344,2096,200,20960.000000,1735.593299,104,1090,1006.000000,96
1760608076759,00011,1741.208447,0,29344,2096,200,20960.000000,1812.480140,102,1069,1027.000000,98
1760608076759,00008,1741.208447,0,29344,2096,200,20960.000000,1562.212540,105,1100,996.000000,95
1760608076759,00001,1741.208447,0,29344,2096,200,20960.000000,1604.288140,94,985,1111.000000,106
1760608076859,00004,2214.968855,0,29344,2096,200,20960.000000,2028.975348,108,1132,964.000000,92
1760608076859,00006,2214.968855,0,29344,2096,200,20960.000000,2235.424336,109,1142,954.000000,91
1760608076859,00013,2214.968855,0,29344,2096,200,20960.000000,2367.995795,110,1153,943.000000,90
1760608076859,00002,2214.968855,0,29344,2096,200,20960.000000,2297.834841,90,943,1153.000000,110
1760608076859,00012,2214.968855,0,29344,2096,200,20960.000000,2221.971659,107,1121,975.000000,93
1760608076859,00009,2214.968855,0,29344,2096,200,20960.000000,2259.999779,108,1132,964.000000,92
1760608076859,00005,2214.968855,0,29344,2096,200,20960.000000,1088.653073,108,1132,964.000000,92
1760608076859,00003,2214.968855,0,29344,2096,200,20960.000000,2368.766540,111,1163,933.000000,89
1760608076859,00007,2214.968855,0,29344,2096,200,20960.000000,2186.906099,106,1111,985.000000,94
1760608076859,00014,2214.968855,0,29344,2096,200,20960.000000,2252.606361,106,1111,985.000000,94
1760608076859,00010,2214.968855,0,29344,2096,200,20960.000000,2129.106626,104,1090,1006.000000,96
1760608076859,00011,2214.968855,0,29344,2096,200,20960.000000,2223.311513,105,1100,996.000000,95
1760608076859,00008,2214.968855,0,29344,2096,200,20960.000000,2046.579207,102,1069,1027.000000,98
1760608076859,00001,2214.968855,0,29344,2096,200,20960.000000,3301.432789,105,1100,996.000000,95
