timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1760608164469,00004,14,12,1,0,1,23.973799,95.000000
1760608164469,00006,14,12,1,0,1,35.250236,117.000000
1760608164469,00013,14,12,1,0,1,27.707049,102.000000
1760608164469,00002,14,12,1,0,1,27.815552,102.000000
1760608164469,00012,14,12,1,0,1,24.495470,96.000000
1760608164469,00009,14,12,1,0,1,25.133969,97.000000
1760608164469,00005,14,12,1,0,1,23.995723,95.000000
1760608164469,00003,14,12,1,0,1,30.141665,107.000000
1760608164469,00007,14,12,1,0,1,27.928727,103.000000
1760608164469,00014,14,12,1,0,1,24.018416,95.000000
1760608164469,00010,14,12,1,0,1,25.862073,98.000000
1760608164469,00011,14,12,1,0,1,29.051764,105.000000
1760608164469,00008,14,12,1,0,1,26.864123,101.000000
1760608164469,00001,14,12,1,0,1,24.116722,95.000000
1760608164569,00004,14,14,1,0,1,23.971541,95.000000
1760608164569,00006,14,14,1,0,1,35.241350,117.000000
1760608164569,00013,14,14,1,0,1,27.703247,102.000000
1760608164569,00002,14,14,1,0,1,27.816555,102.000000
1760608164569,00012,14,14,1,0,1,24.493467,96.000000
1760608164569,00009,14,14,1,0,1,25.130980,97.000000
1760608164569,00005,14,14,1,0,1,23.995632,95.000000
1760608164569,00003,14,14,1,0,1,30.146181,107.000000
1760608164569,00007,14,14,1,0,1,27.930775,103.000000
1760608164569,00014,14,14,1,0,1,24.015472,95.000000
1760608164569,00010,14,14,1,0,1,25.858190,98.000000
1760608164569,00011,14,14,1,0,1,29.048129,105.000000
1760608164569,00008,14,14,1,0,1,26.863091,101.000000
1760608164569,00001,14,14,1,0,1,24.119201,95.000000
1760608164669,00004,14,14,1,0,1,23.969282,95.000000
1760608164669,00006,14,14,1,0,1,35.232473,117.000000
1760608164669,00013,14,14,1,0,1,27.699445,102.000000
1760608164669,00002,14,14,1,0,1,27.817557,102.000000
1760608164669,00012,14,14,1,0,1,24.491464,96.000000
1760608164669,00009,14,14,1,0,1,25.127993,97.000000
1760608164669,00005,14,14,1,0,1,23.995539,95.000000
1760608164669,00003,14,14,1,0,1,30.150700,107.000000
1760608164669,00007,14,14,1,0,1,27.932821,103.000000
1760608164669,00014,14,14,1,0,1,24.012530,95.000000
1760608164669,00010,14,14,1,0,1,25.854308,98.000000
1760608164669,00011,14,14,1,0,1,29.044495,105.000000
1760608164669,00008,14,14,1,0,1,26.862058,101.000000
1760608164669,00001,14,14,1,0,1,24.121680,95.000000
1760608164769,00004,14,14,1,0,1,23.967023,95.000000
1760608164769,00006,14,14,1,0,1,35.223603,117.000000
1760608164769,00013,14,14,1,0,1,27.695644,102.000000
1760608164769,00002,14,14,1,0,1,27.818559,102.000000
1760608164769,00012,14,14,1,0,1,24.489461,96.000000
1760608164769,00009,14,14,1,0,1,25.125006,97.000000
1760608164769,00005,14,14,1,0,1,23.995446,95.000000
1760608164769,00003,14,14,1,0,1,30.155221,107.000000
1760608164769,00007,14,14,1,0,1,27.934865,103.000000
1760608164769,00014,14,14,1,0,1,24.009588,95.000000
1760608164769,00010,14,14,1,0,1,25.850427,98.000000
1760608164769,00011,14,14,1,0,1,29.040863,105.000000
1760608164769,00008,14,14,1,0,1,26.861024,101.000000
1760608164769,00001,14,14,1,0,1,24.124160,95.000000
1760608164869,00004,14,14,1,0,1,23.964764,95.000000
1760608164869,00006,14,14,1,0,1,35.214743,117.000000
1760608164869,00013,14,14,1,0,1,27.691843,102.000000
1760608164869,00002,14,14,1,0,1,27.819559,102.000000
1760608164869,00012,14,14,1,0,1,24.487458,96.000000
1760608164869,00009,14,14,1,0,1,25.122020,97.000000
1760608164869,00005,14,14,1,0,1,23.995353,95.000000
1760608164869,00003,14,14,1,0,1,30.159744,107.000000
1760608164869,00007,14,14,1,0,1,27.936908,103.000000
1760608164869,00014,14,14,1,0,1,24.006647,95.000000
1760608164869,00010,14,14,1,0,1,25.846548,98.000000
1760608164869,00011,14,14,1,0,1,29.037232,105.000000
1760608164869,00008,14,14,1,0,1,26.859990,101.000000
1760608164869,00001,14,14,1,0,1,24.126640,95.000000
1760608164969,00004,14,14,1,0,1,23.962505,95.000000
1760608164969,00006,14,14,1,0,1,35.205890,117.000000
1760608164969,00013,14,14,1,0,1,27.688043,102.000000
1760608164969,00002,14,14,1,0,1,27.820559,102.000000
1760608164969,00012,14,14,1,0,1,24.485456,96.000000
1760608164969,00009,14,14,1,0,1,25.119035,97.000000
1760608164969,00005,14,14,1,0,1,23.995258,95.000000
1760608164969,00003,14,14,1,0,1,30.164269,107.000000
1760608164969,00007,14,14,1,0,1,27.938948,103.000000
1760608164969,00014,14,14,1,0,1,24.003707,95.000000
1760608164969,00010,14,14,1,0,1,25.842671,98.000000
1760608164969,00011,14,14,1,0,1,29.033602,105.000000
1760608164969,00008,14,14,1,0,1,26.858955,101.000000
1760608164969,00001,14,14,1,0,1,24.129120,95.000000
