timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
1760608164869,00005,1721.672523,0,29344,2096,200,20960.000000,678.273406,114,1195,901.000000,86
1760608164869,00003,1721.672523,0,29344,2096,200,20960.000000,1870.664626,106,1111,985.000000,94
1760608164869,00007,1721.672523,0,29344,2096,200,20960.000000,1650.423340,96,1006,1090.000000,104
1760608164869,00014,1721.672523,0,29344,2096,200,20960.000000,1700.136561,103,1079,1017.000000,97
1760608164869,00010,1721.672523,0,29344,2096,200,20960.000000,1697.390940,104,1090,1006.000000,96
1760608164869,00011,1721.672523,0,29344,2096,200,20960.000000,1812.480140,102,1069,1027.000000,98
1760608164869,00008,1721.672523,0,29344,2096,200,20960.000000,1562.212540,105,1100,996.000000,95
1760608164869,00001,1721.672523,0,29344,2096,200,20960.000000,1604.288140,94,985,1111.000000,106
1760608164969,00004,2207.870958,0,29344,2096,200,20960.000000,2065.829014,108,1132,964.000000,92
1760608164969,00006,2207.870958,0,29344,2096,200,20960.000000,2235.424336,109,1142,954.000000,91
1760608164969,00013,2207.870958,0,29344,2096,200,20960.000000,2389.537777,110,1153,943.000000,90
1760608164969,00002,2207.870958,0,29344,2096,200,20960.000000,2053.016556,90,943,1153.000000,110
1760608164969,00012,2207.870958,0,29344,2096,200,20960.000000,2364.244538,107,1121,975.000000,93
1760608164969,00009,2207.870958,0,29344,2096,200,20960.000000,2259.999779,108,1132,964.000000,92
1760608164969,00005,2207.870958,0,29344,2096,200,20960.000000,765.748175,108,1132,964.000000,92
1760608164969,00003,2207.870958,0,29344,2096,200,20960.000000,2452.738476,111,1163,933.000000,89
1760608164969,00007,2207.870958,0,29344,2096,200,20960.000000,2563.463328,106,1111,985.000000,94
1760608164969,00014,2207.870958,0,29344,2096,200,20960.000000,2252.606361,106,1111,985.000000,94
1760608164969,00010,2207.870958,0,29344,2096,200,20960.000000,3149.568955,104,1090,1006.000000,96
1760608164969,00011,2207.870958,0,29344,2096,200,20960.000000,2223.311513,105,1100,996.000000,95
1760608164969,00008,2207.870958,0,29344,2096,200,20960.000000,2046.579207,102,1069,1027.000000,98
1760608164969,00001,2207.870958,0,29344,2096,200,20960.000000,2088.125395,105,1100,996.000000,95
